done,Term,Term (german),Synonym,Synonym (german),Keywords,Keywords (german),Explanation,Explanation (german),Additional Information,Related References,Wikipedia-Link,Image/Animation,Acknowledgement/Guest Contributer,
yes,nucleosynthetic anomaly,Nukleosynthetissche Abweichung,,,,,"This means a mass-independet anomaly typically observed in presolar grains or components most likely containing a presolar grains. Nuclelsynthetic anomalies are often massive in presolar grains. The term, however, is misleading, as all isotopes are produced by nucleosynthesis. Presolar grains survived destrucing in the interstellar medium (ISM), thereby becoming largely anomalous relative to the homogenised ISM. The nucleosynthetic anomaly might therefore more sensibly be called presolar anomaly.","This means a mass-independet anomaly typically observed in presolar grains or components most likely containing a presolar grains. Nuclelsynthetic anomalies are often massive in presolar grains. The term, however, is misleading, as all isotopes are produced by nucleosynthesis. Presolar grains survived destrucing in the interstellar medium (ISM), thereby becoming largely anomalous relative to the homogenised ISM. The nucleosynthetic anomaly might therefore more sensibly be called presolar anomaly.",,None,None,,,
yes,mass-dependent fractionation,Massenabhängige Fraktionierung,,,process,Prozess,"Any process that affects the various isotopes of an element differently, and solely based on the various masses of the isotopes. The most prominent mass-dependent isotope fractionation process is any kinetic process, e.g., evaporation, condensation, or diffusion.","Any process that affects the various isotopes of an element differently, and solely based on the various masses of the isotopes. The most prominent mass-dependent isotope fractionation process is any kinetic process, e.g., evaporation, condensation, or diffusion.",,None,WikiIsotopFractionation,,,
yes,mass-independent fractionation,Massenunabhängige Fraktionierung,,,process,Prozess,"Any process that affects the various isotopes of an element differently, but not based on the various masses of the isotopes. Typical processes are nucleosynthesis in or around stars or self-shielding in the early solar system.","Any process that affects the various isotopes of an element differently, but not based on the various masses of the isotopes. Typical processes are nucleosynthesis in or around stars or self-shielding in the early solar system.",,None,WikiIsotopFractionation,,,
yes,Rayleigh fractionation,Rayleigh Fraktionierung,,,,,A set of equations that describe how particles of different masses are fractionated from each other. The fractionation factor alpha is required for the equations. Typically various isotopes masses are considered.,A set of equations that describe how particles of different masses are fractionated from each other. The fractionation factor alpha is required for the equations. Typically various isotopes masses are considered.,,None,WikiRayleighFractionation,,,
,linearised form,Linearisierte Form,linearized form,,,,,,,None,None,,,
yes,lithophile,Lithophil,,,,,"Elements that have a strong affinity with silicates and oxides, i.e., are primarily incorporated in these mineral groups.","Elements that have a strong affinity with silicates and oxides, i.e., are primarily incorporated in these mineral groups.",,None,WikiGoldschmidtClassification,,,
yes,siderophile,Siderophil,,,,,"Elements that have a strong affinity with metal, i.e., are primarily incorporated in these mineral groups.","Elements that have a strong affinity with metal, i.e., are primarily incorporated in these mineral groups.",,None,WikiGoldschmidtClassification,,,
yes,precursor,Precursor,,Vorläufer,,,"General term for material that was incorporated into specific objects. For example, the precursor material of chondrules, but also the precursor material of planets.","General term for material that was incorporated into specific objects. For example, the precursor material of chondrules, but also the precursor material of planets.",,None,None,,,
yes,clast,Bruchstück,,,component,Komponente,"An object consisting of various components such as chondrules, matrix, CAIs that typically occurs xenolithic within a meteorite and has an angular outline.","An object consisting of various components such as chondrules, matrix, CAIs that typically occurs xenolithic within a meteorite and has an angular outline.",,None,None,,,
,lump,Stück,,,component,Komponente,,,,None,None,,,
yes,lithology,Lithologie,,,component,Komponente,"Meteorites might consist of material mixed together from various parts of the parent body or even various parent bodies. Each contribution to the mix is called a lithology, i.e., meteorites might consist of various lithologies.","Meteorites might consist of material mixed together from various parts of the parent body or even various parent bodies. Each contribution to the mix is called a lithology, i.e., meteorites might consist of various lithologies.",,None,None,,,
yes,breccia,Brekzie,impact breccia,Impaktbrekzie,"petrography, structure","Petrographie, Struktur","A meteorite consisting of material from various origins, i.e., of various lithologies is called a breccia.","A meteorite consisting of material from various origins, i.e., of various lithologies is called a breccia.",,None,WikiImpactBreccia,,,
yes,magnetic fraction,magnetische Anteil,,,,,"Meteorite components are difficult to separate. Therefore, a meteorite can be crushed and components are separated according to their magnetic properties. The most magnetic is the magentic fraction.","Meteorite components are difficult to separate. Therefore, a meteorite can be crushed and components are separated according to their magnetic properties. The most magnetic is the magentic fraction.",,None,None,,,
yes,bulk,Gesamt,,Bulk,,,"The composition of an entire object, e.g., of an entire meteorite, an entire chondrule, the entire matrix.","The composition of an entire object, e.g., of an entire meteorite, an entire chondrule, the entire matrix.",,None,None,,,
yes,complementarity,Komplementarität,"chemical complementarity, isotopic complementarity","Chemische Komplementarität, Isotopische Komplementarität",,,"The two most volumetrically abundant components in carbonaceous chondrites matrix and chondrules are complemenatry to each other when an element or isotope composition is different in both components, while the bulk chondrite has solar, i.e., CI chondritic compositons. It is then most likely that these two components formed fro the same reservoir, i.e., in the same location of the protoplanetary disk.","The two most volumetrically abundant components in carbonaceous chondrites matrix and chondrules are complemenatry to each other when an element or isotope composition is different in both components, while the bulk chondrite has solar, i.e., CI chondritic compositons. It is then most likely that these two components formed fro the same reservoir, i.e., in the same location of the protoplanetary disk.",,"Hezel+2010;Palme+,2015",None,,,
yes,classification,Klassifikation,,,,,"Dividing obejcts into various categories based on a set of characteristics. For example, meteorties are classified into various classes, groups based on for example, bulk chemical composition. But also components such as chondrules or CAIs are classified based on their structure, isotope composion, or REE patterns.","Dividing obejcts into various categories based on a set of characteristics. For example, meteorties are classified into various classes, groups based on for example, bulk chemical composition. But also components such as chondrules or CAIs are classified based on their structure, isotope composion, or REE patterns.",,None,None,,,
yes,ISM,ISM,interstellar medium,Interstellares Medium,acronym,Abkürzung,"The material in-between stars. The ISM has a lifetime of hundreds of Ma. Material reprocessing homogenises the isotopic and elemental composition of the ISM. However, the ISM also contains a small amount (~3-5%) of unprocessed, un-homogenised material. This is original stardust or presolar grain material. The solar system formed from ISM material.","The material in-between stars. The ISM has a lifetime of hundreds of Ma. Material reprocessing homogenises the isotopic and elemental composition of the ISM. However, the ISM also contains a small amount (~3-5%) of unprocessed, un-homogenised material. This is original stardust or presolar grain material. The solar system formed from ISM material.",,None,WikiISM,,,
yes,closed system,Geschlossenes Sytsem,,,,,"This generally describes that a system cannot exchange material, typically chemical elements, with its surrounding. A system might be a chondrule exchanging material with surrounding gas in the protoplanetary disk, or the surrounding solids on a parent body.","This generally describes that a system cannot exchange material, typically chemical elements, with its surrounding. A system might be a chondrule exchanging material with surrounding gas in the protoplanetary disk, or the surrounding solids on a parent body.",,None,None,,,
yes,open system,Offenes System,,,,,"This generally describes the possibility of a system to exchange material, typically chemical elements, with the surrounding. A system might be a chondrule exchanging material with surrounding gas in the protoplanetary disk, or the surrounding solids on a parent body.","This generally describes the possibility of a system to exchange material, typically chemical elements, with the surrounding. A system might be a chondrule exchanging material with surrounding gas in the protoplanetary disk, or the surrounding solids on a parent body.",,None,None,,,
yes,Graham's Law,Grahamschen Gesetz,,,process,Prozess,"In cosmochemistry, this mostly describes the different escape velocities of two isotopes of masses m1 and m2 escape from a reservoir – e.g., melt –  with energy E. The escape velocity of each isotope is then E=m1v1^2 and E=m2v2^2. The energy of the melt is the same for both isotopes, and therefore m1v1^2 = m2v2^2, or v1/v2 = Squareroot(m2/m1). This equation is called Graham's Law.","In cosmochemistry, this mostly describes the different escape velocities of two isotopes of masses m1 and m2 escape from a reservoir – e.g., melt –  with energy E. The escape velocity of each isotope is then E=m1v1^2 and E=m2v2^2. The energy of the melt is the same for both isotopes, and therefore m1v1^2 = m2v2^2, or v1/v2 = Squareroot(m2/m1). This equation is called Graham's Law.",,None,None,,,
yes,component,Komponente,,,,,"A structural element of a meteorite, such as e.g., chondrules, matrix, CAIs, metal, or presolar grains.","A structural element of a meteorite, such as e.g., chondrules, matrix, CAIs, metal, or presolar grains.",,None,None,,,
yes,opaque,opak,,,,,"Traditionally the black objects when observed in transmitted light in a microscope. These are mostly metals, sulphides and oxides. Commonly, only metal and sulphide are collectively called opaques. ","Traditionally the black objects when observed in transmitted light in a microscope. These are mostly metals, sulphides and oxides. Commonly, only metal and sulphide are collectively called opaques. ",,None,None,,,
yes,mixing,Mischung,mechanical mixing,Mechanische Mischung,process,Prozess,"The addition of two or more reservoirs. This mechanical mixing is the most simple form of adding reservoirs together. This mixing includes mixing and fully homogenisation of melts or gas, as well as mixing solids without any homogenisation, except if the scale is choosen large enough so this mixing also appears homogeneous, e.g., if mixing fine grained material is studied on a larger scale.","The addition of two or more reservoirs. This mechanical mixing is the most simple form of adding reservoirs together. This mixing includes mixing and fully homogenisation of melts or gas, as well as mixing solids without any homogenisation, except if the scale is choosen large enough so this mixing also appears homogeneous, e.g., if mixing fine grained material is studied on a larger scale.",,None,None,,,
yes,stable isotope,Stabiles Isotop,,,,,"Each chemical element in fact is a mixture of isotopes with the same number of protons, but variable number of neutrons. Stable isotopes do not decay into other isotopes and elements, respectively ","Each chemical element in fact is a mixture of isotopes with the same number of protons, but variable number of neutrons. Stable isotopes do not decay into other isotopes and elements, respectively ",,None,None,,,
yes,radiogenic isotope,Radiogenes Isotop,,,,,"Each chemical element in fact is a mixture of isotopes with the same number of protons, but variable number of neutrons. Radioactive isotopes decay into other isotopes and elements, respectively ","Each chemical element in fact is a mixture of isotopes with the same number of protons, but variable number of neutrons. Radioactive isotopes decay into other isotopes and elements, respectively ",,None,None,,,
yes,noble gas,Edelgas,,,,,"The elements of the VIII. period in the periodic table: He, Ne, Ar, Kr, Xe, Rn","The elements of the VIII. period in the periodic table: He, Ne, Ar, Kr, Xe, Rn",,None,None,,,
,phase Q,Q-Phase,,,,,,,,None,None,,,
yes,RF,RF,Refraktärer Forsterit,Refraktärer Einschluss,"acronym, component","Abkürzung, Komponente","Are rare type of olivine with low FeO (<1 wt%) and high CaO (up to ~0.5 wt%) and Al2O3 (up to ~0.8 wt%), as well as light (i.e., 16O-rich) O-isotope compositions, almost similar to CAIs. RF are cathodoluminescence active due to the low FeO. RF occur in chondrules or as isolated grains in basically all chondrite groups. ","Are rare type of olivine with low FeO (<1 wt%) and high CaO (up to ~0.5 wt%) and Al2O3 (up to ~0.8 wt%), as well as light (i.e., 16O-rich) O-isotope compositions, almost similar to CAIs. RF are cathodoluminescence active due to the low FeO. RF occur in chondrules or as isolated grains in basically all chondrite groups. ",,"Palme+Pack,2003",None,,,
yes,RF generator,RF Generator,,,,,radio-frequency generator that produces the plasma in mass spectrometers.,radio-frequency generator that produces the plasma in mass spectrometers.,,None,None,,,
yes,amorphous,amorph,amorph,,,,"A solid in which the atoms mostly have no order. A glass is amorphous, the opposite would be crystalline.","A solid in which the atoms mostly have no order. A glass is amorphous, the opposite would be crystalline.",,None,None,,,
,astrosilicate,Astrosilikat,,,component,Komponente,,,,None,None,,,
yes,unit,Einheit,,,,,"Common units are mass, volume, pressure, etc. Percent or parts per million (ppm) are not units, but describe fractions from, in these cases, 100 or million. These relative designations can be combined with units, e.g., wt%, vol%, etc. If a data has a unit, this should always be give, and in particular not omitted if in combination with a fractional indicator such as percent or ppm.","Common units are mass, volume, pressure, etc. Percent or parts per million (ppm) are not units, but describe fractions from, in these cases, 100 or million. These relative designations can be combined with units, e.g., wt%, vol%, etc. If a data has a unit, this should always be give, and in particular not omitted if in combination with a fractional indicator such as percent or ppm.",,None,None,,,
yes,notation,Notation,,,,,"A specific presentation of data, typically a recalculated presentation. For example, isotopes are typically presented in a delta, epsilon, etc. notation. The notation can have a unit, e.g., permil in case of the delta notation, or have no unit.","A specific presentation of data, typically a recalculated presentation. For example, isotopes are typically presented in a delta, epsilon, etc. notation. The notation can have a unit, e.g., permil in case of the delta notation, or have no unit.",,None,None,,,
yes,white matrix,Weiße Matrix,,,,,"A specific description of parts of the Tieschitz chondrite matrix. Likely mentioned first in Christophe Michel-Levy (1976). The Tieschitz matrix is often discriminated into black and white matrix. These are mineralogically and compositionally different, with the white matrix being enriched in Na, K and Al, manifested in the occurence of nepheline and albite.","A specific description of parts of the Tieschitz chondrite matrix. Likely mentioned first in Christophe Michel-Levy (1976). The Tieschitz matrix is often discriminated into black and white matrix. These are mineralogically and compositionally different, with the white matrix being enriched in Na, K and Al, manifested in the occurence of nepheline and albite.",,"Michel-Levy,1976;Dobrică+Brearley,2014",None,,,
yes,rim,Rand,chondrule rim,Chondrenrand,,,"Chondrules, CAIs or other objects might be surrounded by a rim. There are two main types of rims: (i) Rims consisting of grains, mostly fine-grained, but also-coarse-grained rims. (ii) Igneous or magmatic rims consisting of crystallised minerals, mostly olivine.","Chondrules, CAIs or other objects might be surrounded by a rim. There are two main types of rims: (i) Rims consisting of grains, mostly fine-grained, but also-coarse-grained rims. (ii) Igneous or magmatic rims consisting of crystallised minerals, mostly olivine.",,None,None,,,
yes,nodules,Knolle,FeNi nodules,Eisen-Nickel Knollen,"petrography, structure","Petrographie, Struktur","FeNi metal or sulphides often appear with a smooth, but irregular outline, and are then called 'nodule'. ","FeNi metal or sulphides often appear with a smooth, but irregular outline, and are then called 'nodule'. ",,None,None,,,
yes,Sasha Map,Sasha Map,,,analytical,Analytisch,"The combination, i.e., overlay of typically 3 element maps of a sample section. Typical elements used are, Ca, Al, Si, Mg, and Fe.","The combination, i.e., overlay of typically 3 element maps of a sample section. Typical elements used are, Ca, Al, Si, Mg, and Fe.",,None,None,,,
yes,Phase Map,Phase Map,,,analytical,Analytisch,"Each phase, e.g., mineral in a sample section is displayed in a flase colour. At least two element maps and some software is required to produce a phase map. Such software is available as separate pacakge or as part of instrument software.","Each phase, e.g., mineral in a sample section is displayed in a flase colour. At least two element maps and some software is required to produce a phase map. Such software is available as separate pacakge or as part of instrument software.",,"Hezel,2010",None,,,
yes,dustball,Staubball,,,,,"The precursor aggregate from which chondrules formed after the dustball experienced high temperature processing. The canonical view is that dustballs are made up of primarily fine-grained (µm-sized) material with some larger grains (tens to hundreds of µm) of commuted e.g., chondrules or CAIs.","The precursor aggregate from which chondrules formed after the dustball experienced high temperature processing. The canonical view is that dustballs are made up of primarily fine-grained (µm-sized) material with some larger grains (tens to hundreds of µm) of commuted e.g., chondrules or CAIs.",,None,None,,,
yes,canonical,kanonisch,,,,,"A rater agreed upon than measured value used as a standard value. E.g., the canoncial dust/gas ratio or pressure in the protoplanetary disk.","A rater agreed upon than measured value used as a standard value. E.g., the canoncial dust/gas ratio or pressure in the protoplanetary disk.",,None,None,,,
,micrometeorite,Mikrometeorite,,,,,,,,None,WikiMicrometeorite,,,
yes,triangulation,Triangulation,,,,,"If the trajectory of a meteorite is recorded from more than one place, it is possible to determine the fall trajectory in 3D space, and extrapolate where the meteorite likely landed.","If the trajectory of a meteorite is recorded from more than one place, it is possible to determine the fall trajectory in 3D space, and extrapolate where the meteorite likely landed.",,None,None,,,
yes,amu,AME,atomic mass unit,Atomare Masseneinheit,acronym,Abkürzung,"The 1/12 of the mass of 12C, which is: 1.660539040(20)×10−27 kg","The 1/12 of the mass of 12C, which is: 1.660539040(20)×10−27 kg",,None,WikiAtomicMassUnit,,,
yes,FUN,FUN,Fractionation and Unidentified Nuclear isotope properties,Isotopische Anomalien durch Fraktionierung und undefinierte Nukleareffekte,"acronym, component","Abkürzung, Komponente","A sub-type of CAIs (therefore also FUN CAI) with little or no excess of radiogenic 26Mg, i.e., no initial 26Al, but large mass-dependent Mg, Si, or O isotope anomalies, and further ‘nuclear’ anomalies in e.g., Ba, Ti, Nd, and Sm. FUN inclusions occur in many CC, e.g, CV and CM. Otherwise these are similar to type B CAIs.","A sub-type of CAIs (therefore also FUN CAI) with little or no excess of radiogenic 26Mg, i.e., no initial 26Al, but large mass-dependent Mg, Si, or O isotope anomalies, and further ‘nuclear’ anomalies in e.g., Ba, Ti, Nd, and Sm. FUN inclusions occur in many CC, e.g, CV and CM. Otherwise these are similar to type B CAIs.",,"Wasserburg+,1977;MacPherson,2014",None,,,
yes,UN,UN,Unidentified Nuclear isotope properties,Isotopische Anomalien durch undefinierte Nukleareffekte,"acronym, component",,"A sub-type of CAIs (therefore also UN CAI) with little or no excess of radiogenic 26Mg, i.e., no initial 26Al, in contrast to FUN inclusions no large mass-dependent isotope anomalies, but like FUN inclusions ‘nuclear’ anomalies in e.g., Ba, Ti, Nd, and Sm. FUN inclusions occur in many CC, e.g, CV and CM. Otherwise these are similar to type B CAIs.","A sub-type of CAIs (therefore also UN CAI) with little or no excess of radiogenic 26Mg, i.e., no initial 26Al, in contrast to FUN inclusions no large mass-dependent isotope anomalies, but like FUN inclusions ‘nuclear’ anomalies in e.g., Ba, Ti, Nd, and Sm. FUN inclusions occur in many CC, e.g, CV and CM. Otherwise these are similar to type B CAIs.",,"Wasserburg+,1977;MacPherson,2014",None,,,
yes,igneous rim,Magmatischer Rand,magmatic rim,,,,Chondrules can be surrounded by igneous or magmatic rims. This is an additional layer and might represent former fine-grained material that got re-heated. The igneous rim largely did not interact with the surrounded chodnrule.,Chondrules can be surrounded by igneous or magmatic rims. This is an additional layer and might represent former fine-grained material that got re-heated. The igneous rim largely did not interact with the surrounded chodnrule.,,None,None,,,
yes,GEMS,GEMS,glass with embedded metal and sulfides ,Glas mit eingebetteten Metallen und Sulfiden,"acronym, component","Abkürzung, Komponente",These are often found in IDPs. Their origin is still debated. They might predate the solar system or of solar system condensation origin.,These are often found in IDPs. Their origin is still debated. They might predate the solar system or of solar system condensation origin.,,"Keller+Messenger,2011;Ishii+,2018",None,,,
yes,solar wind,Sonnenwind,"solar cosmic ray, SCR","Solare kosmische Strahlung, SCR",,,"A continous stream of variable, but low engery consiting of charged particles emanating at 1-100 keV from the Sun's Corona and solar flares, and consising of electrons, protons, alpha particles, but also heavier elements.","A continous stream of variable, but low engery consiting of charged particles emanating at 1-100 keV from the Sun's Corona and solar flares, and consising of electrons, protons, alpha particles, but also heavier elements.",,None,WikiSolarWind,,,
yes,UOC,UOC,unequilibrated ordinary chondrite,Gewöhnliche Chondrite im Ungleichgewicht,acronym,Abkürzung,"Ordinary chondrites which did not experience any kind of alteration, i.e., close to, but not fully restricted to, the petrologic type 3.00.","Ordinary chondrites which did not experience any kind of alteration, i.e., close to, but not fully restricted to, the petrologic type 3.00.",,None,None,,,
yes,mass bias,Massenausrichtung,,,analytical,Abkürzung,Isotopes are fractionated inside a mass-spectrometer during measurement. This fractionation is the mass bias.,Isotopes are fractionated inside a mass-spectrometer during measurement. This fractionation is the mass bias.,,None,None,,,
,nebuliser,Zerstäuber,nebulizer,,analytical,Analytisch,,,,None,None,,,
,spray chamber,Sprühkammer,,,analytical,Analytisch,,,,None,None,,,
,desolvater,Desolvator,,,analytical,Analytisch,,,,None,None,,,
yes,Neptune,Neptune,,,"analytical,instrument model","Analytisch, Messgerät",The mass-spectrometer build by the Thermo-Fischer company. It typically hase movable detector cups and selectable resistors.,The mass-spectrometer build by the Thermo-Fischer company. It typically hase movable detector cups and selectable resistors.,,None,None,,,
yes,Nu Plasma,Nu Plasma,,,"analytical,instrument model","Analytisch, Messgerät",The mass-spectrometer build by the Nu company.,The mass-spectrometer build by the Nu company.,,None,None,,,
yes,chromatography,Chromatographie,,Chromatografie,analytical,Analytisch,"A technique to isolate an element from a mix of elements in a solution. Typically, a column is filled with a resin through which elemens move with variable velocities when the solution is poured down the column with a certain acid, or some elements stick to the resin and other move through. This differential behaviour allows to collect the elements at various steps of the process.","A technique to isolate an element from a mix of elements in a solution. Typically, a column is filled with a resin through which elemens move with variable velocities when the solution is poured down the column with a certain acid, or some elements stick to the resin and other move through. This differential behaviour allows to collect the elements at various steps of the process.",,None,None,,,
yes,tomography,Tomography,,Tomografie,analytical,Analytisch,"This technique records a 3D image of a specimen. The sample is placed on a rotating table. X-rays transmit the sample and are attenuated depending on material characteristics, primarily their densities. Sample sizes can be from µm to severl tens of centimeter, depending on the instrument and required image resolution.","This technique records a 3D image of a specimen. The sample is placed on a rotating table. X-rays transmit the sample and are attenuated depending on material characteristics, primarily their densities. Sample sizes can be from µm to severl tens of centimeter, depending on the instrument and required image resolution.",,None,None,,,
yes,electron microprobe analyser,Elektronenstrahlmikroanalyse,"electron microprobe, EMPA, EMP","Elektronenstrahlmikrosonde, EMPA, EMP",analytical,Analytisch,"This instrument allows in-situ element compositional analyses on a µm scale. Typically, polished thin or thick sections with a size of a few square-cm are used.","This instrument allows in-situ element compositional analyses on a µm scale. Typically, polished thin or thick sections with a size of a few square-cm are used.",,None,None,,,
yes,secondary electron microscopy,Rasterelektronenmikroskop,SEM,REM,analytical,Analytisch,"This instrument allows in-situ element compositional analyses on a µm scale. Typically, polished thin or thick sections with a size of a few square-cm are used.","This instrument allows in-situ element compositional analyses on a µm scale. Typically, polished thin or thick sections with a size of a few square-cm are used.",,None,None,,,
yes,supernova,Supernova,SN,SN,,,"The last evolutionary stage of many stars. There are various types of supernovae (SN). This often explosive stage is the source of many r-process nuclides in our solar system. Various types of SN are discirimated: Type IA - a white dwarf accrets matter from a companion, resulting in a thermonuclear explosion. Type II, Ib, Ic – SN follows from the core collapse of a massive star.","The last evolutionary stage of many stars. There are various types of supernovae (SN). This often explosive stage is the source of many r-process nuclides in our solar system. Various types of SN are discirimated: Type IA - a white dwarf accrets matter from a companion, resulting in a thermonuclear explosion. Type II, Ib, Ic – SN follows from the core collapse of a massive star.",,None,WikiSupernova,,,
yes,AGB star,AGB Stern,asymptotic giant branch star,asymptotischer Riesenas,acronym,Abkürzung,A late evolutionary stage of ntermediate-mass stars (0.6-10 x Sun). AGB stars are the source of many s-process nuclides in our solar system.,A late evolutionary stage of ntermediate-mass stars (0.6-10 x Sun). AGB stars are the source of many s-process nuclides in our solar system.,,None,WikiAGBstar,,,
yes,p-process,P-Prozess,,,process,Prozess,"A nuclide captures a proton, i.e, becomes a new element. p-process nuclides are the most rare type.","A nuclide captures a proton, i.e, becomes a new element. p-process nuclides are the most rare type.",,"Burbidge+,1957",WikiPProcess,,,
yes,s-process,S-Prozess,,,process,Prozess,"A nuclide captuers a slow neutron, i.e., it remains the same element, but isotopically more heavy. The new isotope might be stable or radioacitve. In the latter case, if the half-life is long, it might capture another slow neutron, becoming even heavier, or if the half-life is short, it decays into a new element, which itself might again be either stable or radioactive. An entire chain of decay events can be triggered this way. The s-process nucleosynthesis is typical of AGB stars.","A nuclide captuers a slow neutron, i.e., it remains the same element, but isotopically more heavy. The new isotope might be stable or radioacitve. In the latter case, if the half-life is long, it might capture another slow neutron, becoming even heavier, or if the half-life is short, it decays into a new element, which itself might again be either stable or radioactive. An entire chain of decay events can be triggered this way. The s-process nucleosynthesis is typical of AGB stars.",,"Burbidge+,1957",WikiSProcess,,,
yes,r-process,R-Prozess,,,process,Prozess,"A nuclide captures a rapid neutron, i.e., it remains the same element, but isotopically more heavy. The new isotope might be stable or radioactive. In the latter case, even if the half-life is short, chances are that it is hit by another fast neutron, thereby becoming even heavier. Only when the half-lifes become very short will these radioactive elements start decaying into other elements. Supernova are typical sources of the r-process. A number of the heaviest isotopes are r-process only isotopes.","A nuclide captures a rapid neutron, i.e., it remains the same element, but isotopically more heavy. The new isotope might be stable or radioactive. In the latter case, even if the half-life is short, chances are that it is hit by another fast neutron, thereby becoming even heavier. Only when the half-lifes become very short will these radioactive elements start decaying into other elements. Supernova are typical sources of the r-process. A number of the heaviest isotopes are r-process only isotopes.",,"Burbidge+,1957",WikiRProcess,,,
yes,e-process,E-Prozess,,,process,Prozess,Nucleii production in different stellar sources by nuclear statistical equilibrium.,Nucleii production in different stellar sources by nuclear statistical equilibrium.,,None,None,,,
yes,big bang nucleosynthesis,Primordiale Nukleosynthese,,,process,Prozess,"The elements H (75%), He (25%) and traces of Li (1 ppt) formed directly after the big bang.","The elements H (75%), He (25%) and traces of Li (1 ppt) formed directly after the big bang.",,None,WikiBigBangNucleosynthesis,,,
yes,nucleosynthesis,Nukleosynthese,,,process,Prozess,"The process, in which the nucleus of the chemical elements, i.e., their isotopes form. H, He, and traces of Li formed by condensation shortly after the big bang. All other elements formed in various processes, called the r-, s-, p-, i-, and e-process.","The process, in which the nucleus of the chemical elements, i.e., their isotopes form. H, He, and traces of Li formed by condensation shortly after the big bang. All other elements formed in various processes, called the r-, s-, p-, i-, and e-process.",,None,WikiNucleosynthesis,,,
yes,correction,Korrektur,,,analytical,Analytisch,"An analytical value can be corrected if it is known how the result is affected by a measurement, contamination, etc. For example, isotopes are fractionated when measured in a mass-spectrometer. This mass-bias can be corrected for, when comparing to a mass-bias measured on a known isotope ratio.","An analytical value can be corrected if it is known how the result is affected by a measurement, contamination, etc. For example, isotopes are fractionated when measured in a mass-spectrometer. This mass-bias can be corrected for, when comparing to a mass-bias measured on a known isotope ratio.",,None,None,,,
yes,error,Fehler,,,analytical,Analytisch,"Each analyses has an error. This analytical error should always be given along with the analytical result. Typically, errors are either given as absolute or relative standard error or standard deviation. The relative error is the absolute error divided by the result. The confidence intervall is typically given as either 1 sigma (68.27%) or 2 sigma (95.45%). The latter is preferrable. Sometimes 1.65 sigma is given, corresponding to a 90% confidence interval.","Each analyses has an error. This analytical error should always be given along with the analytical result. Typically, errors are either given as absolute or relative standard error or standard deviation. The relative error is the absolute error divided by the result. The confidence intervall is typically given as either 1 sigma (68.27%) or 2 sigma (95.45%). The latter is preferrable. Sometimes 1.65 sigma is given, corresponding to a 90% confidence interval.",,None,None,,,
yes,error propagation,Fehlerfortpflanzung,,,analytical,Analytisch,"In most cases, results are not only affected one, but more than one analytical errors. The total error of the measurement needs then to be calculted taking all these errors into account using an error propagation formula.","In most cases, results are not only affected one, but more than one analytical errors. The total error of the measurement needs then to be calculted taking all these errors into account using an error propagation formula.",,None,None,,,
yes,Thermo,Thermo,,,company,Unternehmen,"Most popular in geo/cosmochemistry for building mass-spectrometers such as the Neptune MS-ICP-MS, iCap quadrupole MS, or element quadrupole MS.","Most popular in geo/cosmochemistry for building mass-spectrometers such as the Neptune MS-ICP-MS, iCap quadrupole MS, or element quadrupole MS.",,ThermoFisher,None,,,
yes,Nu,Nu,,,company,Unternehmen,"Most popular in geo/cosmochemistry for building inductively coupled mass-spectrometers (ICP-MS, e.g., Neptune), iCap quadrupole MS, or element quadrupole MS.","Most popular in geo/cosmochemistry for building inductively coupled mass-spectrometers (ICP-MS, e.g., Neptune), iCap quadrupole MS, or element quadrupole MS.",,Nu,None,,,
yes,JEOL,JEOL,,,company,Unternehmen,"Most popular in geo/cosmochemistry for building electron microprobe analysers (EMPA, e.g., JEOL 6900) and scanning electron microscopes (SEM).","Most popular in geo/cosmochemistry for building electron microprobe analysers (EMPA, e.g., JEOL 6900) and scanning electron microscopes (SEM).",,Jeol,None,,,
yes,Cameca,Cameca,,,company,Unternehmen,"Most popular in geo/cosmochemistry for building electron microprobe analysers (EMPA, e.g., Cameca SX100) and scanning electron microscopes (SEM).","Most popular in geo/cosmochemistry for building electron microprobe analysers (EMPA, e.g., Cameca SX100) and scanning electron microscopes (SEM).",,Cameca,None,,,
yes,Panalytical,Panalytical,,,company,Unternehmen,"Most popular in geo/cosmochemistry for building X-ray fluorescence analysers (e.g., Zetium).","Most popular in geo/cosmochemistry for building X-ray fluorescence analysers (e.g., Zetium).",,MalvernPanalytical,None,,,
yes,Bruker,Bruker,,,company,Unternehmen,"Most popular in geo/cosmochemistry for building X-ray diffraction analysers and X-ray fluorescence analysers (e.g., Tiger).","Most popular in geo/cosmochemistry for building X-ray diffraction analysers and X-ray fluorescence analysers (e.g., Tiger).",,Bruker,None,,,
yes,Zeiss,Zeiss,,,company,Unternehmen,Most popular in geo/cosmochemistry for building optical microprobes and scanning electron microscopes (SEM).,Most popular in geo/cosmochemistry for building optical microprobes and scanning electron microscopes (SEM).,,Zeiss,None,,,
yes,Melts,Melts,,,Software,Software,A powerful online tool for calculating crystallisation sequences.,A powerful online tool for calculating crystallisation sequences.,,Melts,None,,,
